train_size,macro_f1,macro_f1_sd
64,0.6833109885162882,0.06468764831880155
96,0.7985867116845851,0.024274825659102817
128,0.8013489624250386,0.05367585272290294
160,0.8482459312200457,0.04849287156799861
192,0.8886973351833832,0.03463270299621361
224,0.9339021001696862,0.04132116965156348
256,0.9495101722726169,0.03458539246298123
288,0.974474519519573,0.02510039881964762
320,0.9889463626305732,0.014391325933570022
