C,accuracy,mean_confidence,confidence_gap,errors_at_cost
0.1,0.63,0.41266164660909754,0.21733835339090246,350
1.0,0.9925,0.6853510072872274,0.30714899271277263,350
10.0,1.0,0.9224970902655508,0.07750290973444918,31
100.0,1.0,0.9849259240128759,0.01507407598712407,1
1000.0,1.0,0.9967540401155719,0.003245959884428107,0
