strategy,accuracy,micro_f1,macro_f1,weighted_f1,balanced_accuracy
always general,0.4,0.4,0.14285714285714285,0.22857142857142854,0.25
always fraud-report,0.125,0.125,0.05555555555555555,0.027777777777777776,0.25
uniform random,0.27,0.27,0.2555930654864853,0.2799561725461755,0.26309027777777777
random at class rates,0.235,0.235,0.2012057867395659,0.23650371745727136,0.20177083333333332
