variant,macro_f1,macro_f1_sd,target_recall,wins,ties,losses
raw,0.9874191849733887,0.011626088944485939,0.9360000000000002,0,10,0
money,0.9870841082611136,0.011374581509059335,0.9339999999999999,0,9,1
money + assets,0.9874924328786785,0.010060855719596425,0.932,2,6,2
money + tickers,0.9873328644800191,0.011079470870226626,0.9339999999999999,1,8,1
